"","speaker","trial_num","tune","erb","erbc","normtime","prop_dur","speaker_trial"
"56","speaker1",2,"LLH",3.49684519714116,-1.23794931901573,26,0.866666666666667,"speaker1_2"
"57","speaker1",2,"LLH",3.49285765999911,-1.24193685615778,27,0.9,"speaker1_2"
"58","speaker1",2,"LLH",3.50656984169302,-1.22822467446388,28,0.933333333333333,"speaker1_2"
"59","speaker1",2,"LLH",3.50896461062508,-1.22582990553181,29,0.966666666666667,"speaker1_2"
"60","speaker1",2,"LLH",3.5758794050963,-1.15891511106059,30,1,"speaker1_2"
"61","speaker1",3,"LHL",3.82486552650985,-0.909928989647037,1,0.0333333333333333,"speaker1_3"
"62","speaker1",3,"LHL",3.8248386143771,-0.909955901779793,2,0.0666666666666667,"speaker1_3"
"63","speaker1",3,"LHL",3.8568090474862,-0.877985468670693,3,0.1,"speaker1_3"
"64","speaker1",3,"LHL",3.97838887465475,-0.756405641502139,4,0.133333333333333,"speaker1_3"
"65","speaker1",3,"LHL",4.12183532720927,-0.612959188947626,5,0.166666666666667,"speaker1_3"
"66","speaker1",3,"LHL",4.19378433082308,-0.541010185333815,6,0.2,"speaker1_3"
"67","speaker1",3,"LHL",4.2333764067738,-0.501418109383089,7,0.233333333333333,"speaker1_3"
"68","speaker1",3,"LHL",4.40091177658044,-0.333882739576447,8,0.266666666666667,"speaker1_3"
"69","speaker1",3,"LHL",4.58581099258388,-0.148983523573007,9,0.3,"speaker1_3"
"70","speaker1",3,"LHL",4.65353070837389,-0.0812638077830012,10,0.333333333333333,"speaker1_3"
"71","speaker1",3,"LHL",4.63253382192933,-0.102260694227565,11,0.366666666666667,"speaker1_3"
"72","speaker1",3,"LHL",4.62594403765302,-0.108850478503875,12,0.4,"speaker1_3"
"73","speaker1",3,"LHL",4.60780418597582,-0.126990330181075,13,0.433333333333333,"speaker1_3"
"74","speaker1",3,"LHL",4.59995898420961,-0.134835531947277,14,0.466666666666667,"speaker1_3"
"75","speaker1",3,"LHL",4.61250318522499,-0.122291330931902,15,0.5,"speaker1_3"
"76","speaker1",3,"LHL",4.63448271285826,-0.100311803298628,16,0.533333333333333,"speaker1_3"
"77","speaker1",3,"LHL",4.63285455359306,-0.10193996256383,17,0.566666666666667,"speaker1_3"
"78","speaker1",3,"LHL",4.61453044066896,-0.120264075487932,18,0.6,"speaker1_3"
"79","speaker1",3,"LHL",4.60589917797962,-0.12889533817727,19,0.633333333333333,"speaker1_3"
"80","speaker1",3,"LHL",4.64168266361793,-0.0931118525389589,20,0.666666666666667,"speaker1_3"
"81","speaker1",3,"LHL",4.65599202398909,-0.078802492167803,21,0.7,"speaker1_3"
"82","speaker1",3,"LHL",4.64178125436339,-0.0930132617935033,22,0.733333333333333,"speaker1_3"
"83","speaker1",3,"LHL",4.6645769119347,-0.0702176042221927,23,0.766666666666667,"speaker1_3"
"84","speaker1",3,"LHL",4.76097332487089,0.0261788087139987,24,0.8,"speaker1_3"
"85","speaker1",3,"LHL",4.90581530091667,0.171020784759775,25,0.833333333333333,"speaker1_3"
"86","speaker1",3,"LHL",5.0561932115614,0.321398695404507,26,0.866666666666667,"speaker1_3"
"87","speaker1",3,"LHL",5.19983718761582,0.465042671458932,27,0.9,"speaker1_3"
"88","speaker1",3,"LHL",5.32582821018928,0.591033694032387,28,0.933333333333333,"speaker1_3"
"89","speaker1",3,"LHL",5.38947399689846,0.654679480741573,29,0.966666666666667,"speaker1_3"
"90","speaker1",3,"LHL",5.27197525620111,0.537180740044215,30,1,"speaker1_3"
"91","speaker1",4,"HHL",5.22153746123032,0.486742945073426,1,0.0333333333333333,"speaker1_4"
"92","speaker1",4,"HHL",5.22153746123032,0.486742945073426,2,0.0666666666666667,"speaker1_4"
"93","speaker1",4,"HHL",5.22153746123032,0.486742945073426,3,0.1,"speaker1_4"
"94","speaker1",4,"HHL",5.21915198329993,0.484357467143042,4,0.133333333333333,"speaker1_4"
